words (in Hausa Language),English
Kwaikwayon ba’a,Parody
Kwaikwayonsa,Example
Kwakkwarar,Fertile
Kwakula,Gouge
ƙwaƙula,Kwakula
Kwakulo,Devise
ƙwaƙulo,Transfer
Kwakwala,Mentality
ƙwaƙwala,Mentality
Kwakwale,Logically
ƙwaƙwale,Logically
Kwakwalwa,Brains
ƙwaƙwalwa,Computers
Kwakwalwar,Memory
Kwakwar attagara,Coconut
Kwakwazo,Ado
Kwal,Coal
Kwala,Collar
Kwalan-kwalma,Blackguard
Kwalara,Cholera
Kwalbati,Culvert
Kwalekwale,Boat
Kwali,Cardboard
Kwalisa,Posh
Kwalkwali,Helmet
Kwalla,Tears
ƙwalla,Tears
ƙwallan ƙwallo,Hardball
Kwalliya,Galls
Kwallo,Football
Kwallo,Football
ƙwallo,Football
Kwallon doki,Polo
Kwallon iska,Balloon
Kwallon iska,Balloon
ƙwallon iska,Balloon
Kwallon kafa,Football
Kwallon kwando,Basketball
Kwallon tafi,Fives
Kwalta,Bitumen
Kwamanda,Commandant
Kwamfuta,Computer
Kwamfutar tafi-da-gidanka,Laptops
Kwamfyutan cinya,Laptop
Kwami,Canoe
Kwaminis,Comuunist
Kwaminisanci,Communism
Kwamishina,Commissioner
Kwamisho,Commission
Kwamiti,Committee
Kwamitin mashawarta,Board
Kwana,Coroner
Kwana bakwai,Week
Kwana biyu,Long-time
Kwanaki,Time
Kwanakin amarci,Honeymoon
Kwana-kwana,Chicane
Kwanan wata,Date
Kwance,Lying
Kwance (sukuru),Unscrew
Kwance damara,Disarm
Kwance ɗamarar yaƙi,Disarm
Kwanciya,Bedlamite
Kwanciyar hankali,Condescension
Kwanciyar rai,Peace
Kwando,Basket
Kwandon keke,Panier
Kwane -kwane,Contour
Kwangila,Contracted
Kwankwanto,Examination
Kwankwasa,Knock
ƙwanƙwasa,Blotchy
ƙwannafi,Heartburn
Kwano,Plated
Kwano da irinsu,Dish
Kwanon rufi,Pan
Kwanoon rufi,Pan
Kwanso,Boll
Kwanta,Bed
Kwanta (kamar iska),Subside
Kwantad da hankalin,Pacify
Kwantafit,Counterfeit
Kwantar da hankali,Appease
Kwantar da hankula,Calm
Kwantar da kai,Modest
Kwantawa,Slumpping
Kwantiragi,Cataract
Kwanto,Ambush
Kwantsi,Grit
Kwanuka,Days
Kwara,Overload
Kwara wa ruwa,Drench
Kwarai,Very
ƙwarai,Very
Kwarai da gaske,Excellently
Kwarai kunya,Furrow
Kwarangwal,Skeletons
Kwaranniya,Racket
Kwaranya,Gush
Kwarar manja,Kernels
Kwarara,Spew
Kwarariya,Flux
ƙwarariya,Flux
Kwararre,Wily
ƙwararre,Professional
Kwararru,Experts
Kwarba,Threadworm
Kware,Choke
Kwarewa,Experience
Kwarewa,Experience
ƙwarewa,Mastery
Kwari,Bugs
Kwari (na kibau),Quiver
Kwari masu santsin jiki,Aphid
Kwarjini,Charisma
Kwarkawasa,Affectation
Kwarkwara,Concubine
Kwarkwaro,Bobbin
Kwarkwasa,Flirt
Kwarkwata,Lice
ƙwarƙwata,Lice
Kwarkwata jam’insa,Louse
Kwarkwatar bute,Jigger
Kwarmasa,Crumples
Kwaro,Bug
Kwartanci,Adultery
Kwarto,Quail
Kwartuwa,Paramour
Kwaru,Choke
Kwarya,Calabash
Kwaryar,Bed
Kwaryar kogi,River
Kwas (na karta),Trump
Kwasakwasa,Pelican
Kwasfa,Qualm
Kwasfar su,Nutshell
Kwasha-kwasha,Dead-cheap
Kwashe,Evacuate
Kwaskwarima,Asperse
Kwastan,Customs
Kwat,Coat
Kwata,Gutter
Kwata kwata,Queer
Kwatance,Direction
Kwatance-kwatance,Directions directions
Kwatanci,Egotistical
Kwatancin,Illustration
Kwatangwalo,Hip
Kwatankwacin,Quibble
Kwatanta,Illustrate
Kwatanta adalci,Savvy
Kwatarniya,Basin
Kwatarniyar jima,Vat
Kwato,Reclaim
Kwatsam,Abrupt
Kwauri,Shin
ƙwauri,Customs
Kwaya,Pill
ƙwaya,Pill
Kwaya mai zaburarwa,Amphetamines
Kwayan cuta,Bacterium
Kwayar cuta,Canker
ƙwayar cuta,Virus
Kwayar halita,Cell creation
Kwayar ido,Pupil
Kwayar magani,Pill
Kwayar zarra,Atom
Kwayoyi,Nuts
Kwayoyin,Bacteria
Kwayoyin cuta,Bacteria
Kwayoyin cuta,Bacteria
ƙwayoyin cuta,Viruses
Kwayoyin halitta,Organic
Kwazazzabo,Gorge
Kwazo,Vigour
Kwibi,Side
Kwiɓi,Side
Kwikwiyo,Puppy
Kyafaffen burodi,Toast
Kyafe (galiban burodi),Toast
Kyaftin,Captain
Kyakayta dariya,Lawl
Kyakayta dariya matuka,Rotflol
Kyakkewa,Tear
Kyakkyaɓi,Kyakkyabi
Kyakkyawa,Adorable
Kyakkyawan fata,Hope
Kyakyata dariya,Derisiveness
Kyakyawa,Glamorous
Kyakykyawa,Bonny
Kyakykyawan yaro,Cherub
ƙyalaye,Kyalaye
Kyale,Neglect
ƙyale,Allow
ƙyalƙyala,Kyalkyala
ƙyalƙyale,Kyalkyale
Kyalkyali,Sparkling
ƙyalƙyali,Glitter
ƙyalla,Kyalla
Kyalle,Cloth
ƙyalle,Cloth
Kyalli,Glittering
ƙyalli,Flicker
ƙyallowa,Clamor
Kyam,Firm
Kyama,Anti-
ƙyama,Abhor
Kyamace,Repugnantly
Kyaman baki,Xenophobia
Kyaman baki,Xenophobia
ƙyaman baƙi,Xenophobia
Kyamar baki,Xenophobia
Kyamar talakawa,Snobish
Kyamara,Camera
Kyamara mai tashi,Drone
Kyamarori,Cameras
Kyamata,Antagonize
Kyambi,Yaws
Kyan,Beautiful
Kyan gaske,Excellant
Kyan muamala,Amiable
Kyana,Thane
Kyanda,Measles
ƙyanda,Measles
Kyandi,Castanet
Kyandir,Candle
Kyankyasa,Hatch
ƙyanƙyasa,Hatch
Kyankyashe,Hatch
Kyankyaso,Cockroach
Kyanwa,Cat
Kyara,Hardly
Kyarkeci,Dog
Kyarkyara,Cackle
Kyas,", sparking"
Kyasfi,Ringworm
Kyashi,Jaundiced
Kyau,Beautify
ƙyau,Mirage
Kyau matuka,Excellent
Kyau-haske,Well-backlit
Kyaun gani,Beauty
Kyaure,Door
ƙyaure,Door
Kyauren taga,Shutter
Kyauro,Shaft
Kyauro da danginsu,Reed
Kyauta,Prik
Kyautar girmamawa,Award
Kyautata,Improve
Kyautatawa,Improvement
Kyautatu,Excellent
Kyawawa,Beautiful
Kyawu,Translation
Kyawun niyya,Well-intentioned
Kyifta,Wink
Kyiftarwar ido,Instant
Kyiftawar ido,Wink
ƙyuya,Kyuya
La’ada,Commission
La’ana,Curse
La’ananne,Accursed
La’anta,Curse
La’ari,Panic
Laakari,Regard
Laana,Condemnation
Laana,Condemnation
Laananne,Damnable
Laanci,Cursory
Laanci,Cursory
Laane,Condemned
Laanta,Condemn
Laanta,Condemn
Laantar,Damnably
Laba,Pound
Lababa,Slink
Laban,Pound
Labara,Account
Labarai,News
Labari,Novel
Lãbãri,Story
Labarin batsa,Pornographic
Labarin kasa,Geography
Labe,Eavesdrop
Laɓe,Languish
Labe-labe,Soggy
Laɓewa,Labe
Labule,Curtain
Laburare,Library
Lacca,Address
Lada,Rewarded
Ladabi,Courteous
Ladan,Muezzin
Ladan aiki,Wage
Laden,Lad
Ladna aiki,Earnings
Ladudda,Doubtless
Lafa,Dwindle
Lafazi,Accent
Lafi,Guilty
Lafin,Languid
Lafiya,Ail
Lafiya lau,Safe
Lafiyayye,Sass
Lafsur,Cress
Laftana,Lieutenant
Lagwani,Wick
Lahadi,Sunday
Lahani,Defects
Lahira,Hell
Laifi,Crime
Laifuffukan yara,Delinquency
Laifuka,Offenses
Laima,Moisture
Laimun,Lemon
Laka,Mire
Laka (ta jiki),Spinal cord
Lakabi,Nickname
Lakai-lakai,Filibuster
Lalace,Devastated
Lalacewa,Damage
Lalacewa a hankali,Erosion
Lalacewar jirgin ruwa,Shipwreck
Lalaci,Depravedly
Lalai,Connection
Lalaji,Lalajin
Lalama,Peaceably
Lalas,Pressed
Lalata,Derailed
Lalatacce,Corrupt
Lalatad da,Seduce
Lalatar da,Waste
Lalatattu,Corrosive
Lalatattun abubuwa,Wreaked
Lalatawa,Devastate
Lalatawa fiye da kima,Overkill
Lale,Shuffle
Lale (karta),Shuffle
Lalita,Web synthesis about lalita
Lallaba,Cajole
Lallaɓa,Flatter
Lallabe,Encourage
Lallage,Lobe
Lallama,Cajole
Lallasa,Defeated
Lallashe,Coax
Lallashi,Lull
Lalle,Henna
Laluba,Grope
Lalube,Noble
Lalurar tsorata,Phobia
Lamao,Lmao
Lamari,Event
Lamarin gida,Household
Lamarin ubangiji,Divinity
Lamb,Contact
Lamba,Mark
Lambar nuna hanya,Sign-post
Lambar wasika,Reference
Lambar yabo,Medal
Lambatu,Drain
Lambawan,Chloroform
Lambobi,Numbers
Lambobin yabo,Awards
Lambu,Garden
Lambuna,Gardens
Lamfo,Lurk
Lamiri,Conscience
Lamuni,Surety
Lamya,Spawn
Langabe,Sag
Lankale,Cling
Lankwasa,Bent
Lanƙwasa,Dent
Lankwasa jiki,Muscle-flexing
Lankwasa sassan jiki,Supple
Lankwasashshe,Dented
Lanƙwasasshe,Lankwasasshe
Lankwasasshiyar bota,Scythe
Lankwashe,Flexion
Lanƙwashe,Flexion
Lantarki,Electrify
Lanya,Spawn
Laraba,Wednesday
Lardi,Province
Larura,Necessity
Laruri,Indispensable
Las,Lace
Lasa,Lick
Lasafta,Calculate
Lashe,Win
Lasin,License
Laskofar,Lance
Laso,Cement
Latis,Lettuce
Latsa,Squash
Latse,Crush
Latti,Tard
Lauje,Sickle
Launi,Colour
Launi (na waka),Tune
Launi toka-toka,Grey-gray
Launin amo,Tone
Launin arashi,Brown
Launin bakin bikili,Brown
Launin furen karya,Pink
Launin kaki,Khaki
Launin toka-toka,Gray
Launin waka,Melody
Launuka,Colors
Laurel,Laurels
Laushi,Languor
Lauya,Lawyer
Lawali,Spoor
Laya,Charm
Layi,Row
Layi mai karfi,Hard-line
Layoff-farin ciki,Layoff-happy
Layu,Wattle
Layuka,Rows
Layya,Eid al-adha
Lazamci cewa,Insist
Lazun,Fact
Lebatu,Wattle
Lebe,Lip
Lebur,Flat
Lebura,Workman
Leburori,Laborers
Leda,Letch
Ledkwata,Head-quarters
Leka,Peep
Leƙa,Looked
Leƙa kogo,Scanned cave
Leken asiri,Espionage
Leƙu,Leku
Lemon tuffa,Cider
Lemon zaki,Orange
Lemun tsami,Lemon
Leshi,Lace
Letas,Lettuce
Libarba,Revolver
Libarbar,Pistol
Like,Adhere
Liƙe,Like
Likewa,Adhesion
Liƙewa,Like
Likita,Doctor
Likita mai bincike,Pathologist
Likita mai fida,Surgeon
Likitan hakori,Dentist
Likitan ido,Oculist
Likitoci,Doctors
Likkafa,Stirrup
Likkafani,Shroud
Liliman (maganin shafawa),Liniment
Lilin,Linen
Limami,Imam
Limamin kirista,Bishop
Liman,Imam
Liniman,Liniment
Linjila,Gospel
Linta,Lintel
Linzami,Curb
Linzami mara sarka,Snaffle
Linzamin doki,Martingale
Lissafi,Calculating
Lissafin lissafi,Checklist
Litattafai,Literature
Litattafan gargajiya,Classics
Litinin,Monday
Littafi,Bookish
Littafi mai tsarki,Biblical
Littafin addinin kirista,Bible
Littafin banki,Book bank
Littafin dokoki,The statute book
Littafin duniya,Encyclopedia
Littafin jagora,Guidebook
Littafin koyar da yara,Primer
Littafin koyo,Text-book
Littafin labarin makaranta,Log
Littafin rana,Diary
Littafin tarho,Directory
Littafin tsarin sunaye,Directory
Little kenan,Wee
Liwadi,Homosexuality
Liyafa,Banquet
Liyari,Dollar
Loba,Dent
Lofe,Pipe
Lokaci,Termite
Lokaci-lokaci,Sporadic
Lokacin (kwanakin) da,Past
Lokacin amarci,Honeymoon
Lokacin balaga,Puberty
Lokacin da,When
Lokacin damina,Summer
Lokacin hidima,Career
Lokacin shakatawa,Adjournment
Lokacin yin nishadi,Romp
Lokacin ziyara,Festival
Lokuta,Cases
Lokuta-lokuta,Cases-cases
Loma,Mouthful
Lori,Lorry
Lu’ulu’u,Pearl
Lu’u-lu’u,Diamond
Ludayi,Ladle
Ludu,Sodomy
Luguden bama-bamai,Bombardment
Lukuti,Bulbous
Lumana,Peaceful
Lumshe ido,Twinkly
Lungu,Recess
Lunsayi,Testicle
Lura,Vigilance
Lutsu,Sodomy
Luuluu,Crystal
Luuluu,Crystal
Luu-luu,Diamond
Luwaɗi,Gays
Luwaɗu,Luwadu
M,Weird
Ma,Too
Ma bayarwa,Donor
Ma’aikaci,Workman
Ma’aikaci kwarai,Busy
Ma’aikacin hulda,Diplomat
Ma’aikata,Bureau
Ma’aikatan ofis,Office
Ma’aikatar gwamnati,Department
Ma’aikatar makanikai,Workshop
Ma’aikatar minista,Ministry
Ma’aiki,Envoy
Ma’aji,Receptacle
Ma’ajin kwaleji,Bursar
Ma’ajin lokaci,Timetable
Ma’amala,Dealings
Ma’ana,Interpretation
Ma’anar,Define
Ma’auni,Gauge
Ma’aunin nauyi,Kilogram
Ma’aunin nisa,Kilometer
Ma’aunin ruwa,Gill
Ma’aunin tsawo,Rod
Maaikaci,Bureaucrat
Maaikaci,Bureaucrat
Maaikaci mai zaman kansa,Scab
Maaikacin kotu,Bailiff
Maaikaciyar jiyya,Nurse
Maana,Concens
Maana,Concens
Maana daya,Synonymous
Maana iri daya,Synonymous
Maasumi,Infallible
Maauni,Balance
Maauni,Balance
Mabaƙunci,Mabakunci
Mabaƙunciya,Mabakunciya
Maballi,Button
Maɓalli,Key
Mabambanta,Diversified
Mabannaci,The extravagant
Maɓannaci,The extravagant
Maɓannaciya,Mabannaciya
Mabannata,The extravagant
Maɓannata,The extravagant
Mabaraci,First class beggar
Mabaraciya,Begging
Mabarci,Creditor
Mabarnaci,Caustic
Mabarta,Those in debt
Mabiya,Followers
Mabiyi,Sequel
Mabiyiya,Adherents
Mabubbuga,Spring
Mabudi,Key
Mabuɗi,Decryption
Mabudin famfon ruwa,Tap
Mabuga,Printer
Mabukaci,Needy
Mabukata,Needy
Mabunkusa,Vegetables
Mabunƙusa,Vegetables
Mabushi (mutum),Trumpeter
Mace,Mistress
Mace -mace,Mortality
Mace mai aikin agaji a asibiti,Matron
Mace mara kunya,Bitch
Mace masifaffiya,Vixen
Maceci,Savior
Mace-mace,Mortality
Maceta,Refuge
Maci,March
Maci amana,Traitor
Maci gindi,Fucker
Maciji,Viper
Macijin ciki,Round-worm
Maciya,Dependants
Maciya gindi,Fuckers
Maciyi,Glutton
Madaci,Mahogany
Madadi,Substitute
Madafi,Kitchen
Madaidaici,Precise
Madaidaiciya,Straggle
Madaidaiciyar alkibla,Right direction
Madalla,Exellent
Madam,Overtime
Madara,Milk
Madaukai,Loopholes
Madaukaki,Omnipotence
Madauki,Loophole
Madaurar jiragen ruwa,Docked
Madauwami,Eternal
Madauwamiya,Ever
Madawwama,Eternally
Madawwami,Undying
Madi,Syrup
Madigo,Lesbian
Madinki,Tailor
Madogara,Effigy
Madogari,Prop
Madubi,Mirror
Madubin dubawa,Microscopy
Madubin kankara,Smokescreen
Madubin likita,Microscope
Madubin taga,Window
Madubin tunani,Meddlesome
Madukakiyar iyawa,Genius
Maduwari,Circular
Mafadaci,Aggressive
Mafadaci mai laifi,Ruffian
Mafadar ruwa,Waterfall
Mafadici,Ferocious
Mafaka,Asylum
Mafara,Starting
Mafarauci,Hunter
Mafarauta,Hunters
Mafari,Beginning
Mafarkai,Dreams
Mafarki,Hallucination
Mafarkin dare,Nightmare
Mafashi,Brigand
Mafi,More
Mafi alheri,Kinder
Mafi arha,Cheapest
Mafi baci,Worse
Mafi ban mamaki,Strangest
Mafi ban tsoro,Scariest
Mafi daraja,First-rate
Mafi datti,Dirtiest
Mafi dauda,Smuttier
Mafi duhu,Darkest
Mafi duk,Most
Mafi duka muni,Worst
Mafi girma,Bulkier
Mafi girma ainun,Greatest
Mafi hankali,Brainiest
Mafi haske,Brightest
Mafi inganci,Top-quality
Mafi izza,More power
Mafi kadan,Minimum
Mafi kaifi,Sharper
Mafi kankane,Minimum
Mafi kankanta,Less
Mafi karanci,Nadir
Mafi ƙaranci,Less
Mafi ƙarancin,Minimum
Mafi ƙasƙanci,Lowest
Mafi kowa shekaru,Eldest
Mafi kusa,The nearest
Mafi kyau,Best
Mafi kyau duka,Optimal
Mafi kyau-fiye da tsammani,Better-than-expected
Mafi kyawu,Bestial
Mafi kyawun aiki,Best-performing
Mafi muhimmanci,Paramount
Mafi muni,Worse
Mafi munin,Worst
Mafi nesa,Farther
Mafi rauni,Weaker
Mafi razana,Spookiest
Mafi saa,Luckier
Mafi santsi,Smother
Mafi sauki,Easier
Mafi sauki ainun,Easiest
Mafi sayuwa,Best-selling
Mafi talauci,Poorest
Mafi tsabta,Cleanest
Mafi tsananin,Harshest
Mafi tsananin zalunci,Cruelest
Mafi tsarki,Most holy
Mafi wayo,Smarter
Mafi wuya,Tougher
Mafi wuya matuka,Toughest
Mafi yawa,Maximum
Mafi yawan,Most
Mafi zafi,Hottest
Mafi zafin rai,Grumpiest
Mafici,Transient
Mafifici,Fan
Mafita,Runaway
Mafitsara,Cyst
Maga takarda,The range of paper
Magabaci,Forerunner
Magabata,Forefathers
Magagari,File
Magagi,Delirium
Magaji,Heir
Magajin gari,Mayor
Magama,Labyrinth
Magami,Joint
Magana,Rhetoric
Magana bada-bada kamar ta yara,Babbling
Magana biyu,Speak two
Magana da karfi,Temerity
Magana falle daya,Brusque
Magana mara maana,Raving
Maganadisu,Magnet
Maganar ba’a,Taunt
Maganar banza,Nonsense
Maganar mai kishiyoyi biyu,Oxymoron
Maganar sabo,Blasphemy
Maganar wayalis,Broadcast
Magance,Infest
Maganganu,Expressions
Magani,Cure
Magani da jera kofuna a jiki mutum,Cupping
Maganin (sa) zawo,Purgative
Maganin da ke kyafar da fata ko rauni,Astringent
Maganin guba,Antidote
Maganin hana haifuwa,Contraceptive
Maganin kore kwari,Repellant
Maganin kwari,Antifungal
Maganin kwayoyin cuta,Antiseptic
Maganin rigakafi,Antibiotics
Maganin sa amai,Emetic
Maganin sha mai karfi,Opium
Maganin shafawa,Ointment
Maganu,Cure
Magariba,Dusk
Magarya,Lote
Magatakarda,Secretary
Magauci,Adventure
Mage,Cat
Magen juda,Civet
Magewayi,Spy
Maginin tukwane,Potter
Magogi,Brush
Magoya baya,Fans
Magudana,Channel
Magudanar ruwa,Drainage
Magudi,Rig
Magudin zabe,Election-rigger
Maguji,Runner
Magunguna,Pharmaceutical
Magwaji,Criterion
Magwajin zurfin ruwa,Sonar
Mahada,Junction
Mahadan shafda fistin,Bearings
Mahadin jijiyoyi da naman jiki,Plexus
Mahaifa,Afterbirth
Mahaifi,Father
Mahaifiya,Mother
Mahajjata,Pilgrims
Mahalicci,Creator
Mahalli,Context
Mahara,Multiple
Maharbi,Hunter
Maharin,Assailant
Mahauci,Butcher
Mahaukaci,Crazier
Mahaukaci tuburan,Maniac
Mahaukacin fushi,Apeshit
Mahaukaciya,Crazy
Mahaukaciyar (dabba),Savage
Mahaukata,Lunatics
Mahawa,Incline
Mahawara,Debate
Mahayi,Rider
Mahayi na sukuwa,Jockey
Mahimmanci,Vitality
Maho,Patch
Mahuci,Fan
Mahukunci,Ruler
Mahuta,Mahu
Mai,Cream
Mai ‘yar laima,Moist
Mai abu,Owner
Mai abubuwa daban-daban,Feature-rich
Mai adalci,Righteous
Mai adawa,Antagonist
Mai addaba,Buggy
Mai ado,Glitz
Mai aika sakon gizo,Spammer
Mai aikatawa,Perpetrator
Mai aikatuwa,Actionable
Mai aikawa,Sentinel
Mai aiki,Operatic
Mai aiki a hankali,Laggy
Mai aiki tukuru,Hard-working
Mai aikin jarida,Journalist
Mai aikin lambu,Gardener
Mai aikin zane,Draughtsman
Mai aiwatarwa,Executioner
Mai aji,Classy
Mai albarka,Blessed
Mai alfahari,Boastful
Mai alfarma,Favorable
Mai alhaki,Liable
Mai alheri,Gracious
Mai alherin zuciya,Liberal
Mai alhini,Sad
Mai amfani,Invective
Mai amfani da yawa,Resourceful
Mai aminci,Reliable
Mai aniya,Zealous
Mai annamimanci,Pretentious
Mai arafici,Fine
Mai arha,Low-price
Mai aro,Borrower
Mai arziki,Rich
Mai aukuwa,Event
Mai azaba,Torturing
Mai azabtarwa,Punitive
Mai azanci,Sensible
Mai azurtawa,Providers
Mai ba da gudummawa,Contributor
Mai ba da labari,Informer
Mai ba da shawara,Counsellor
Mai bacin zuciya,Sad
Mai bada umarni,Director
Mai bajinta,Audacious
Mai bakar zuciya,Vindictive
Mai bakin ciki,Harrow
Mai baƙin ciki,Mournful
Mai bakin jini,Unpopular
Mai balai,Calamitous
Mai ballewa,Separatist
Mai ban dadi,Tremendously
Mai ban dariya,Ridiculous
Mai ban dariya sosai,Funnier
Mai ban haushi,Irritating
Mai ban mamaki,Bizarre
Mai ban shaawa,Delirious
Mai ban tausayi,Pathetic
Mai ban tsoro,Dreadful
Mai banƙyama,Distasteful
Mai bara,Beggar
Mai barkwanci,Humorous
Mai ɓarna,Devastating
Mai barnatarwa,Disasterous
Mai basira,Brilliant
Mai bata rai,Invidious
Mai bayyananne,A clear
Mai bi,Next
Mai bincike,Inquisitive
Mai birkice,Delirious
Mai biyan kudi,Cashier
Mai biyayya,Subservient
Mai bugawa,Banger
Mai bugun tafireta,Typist
Mai bukatar hanzari,Urgent
Mai bukatar kawatawa,Drab
Mai bunƙasa,Flourishing
Mai buri,Ambitious
Mai busa,Trumpeter
Mai caji,Chargeable
Mai cakwai,Garrulous
Mai canjawa,Volatile
Mai ceto,Savior
Mai ceton rai,Lifesaver
"Mai ci da uwa, bashi kukan sudi","A mother, no cries of mind"
Mai cika aiki,Efficient
Mai cika fuska,Impressive
Mai cika karatu,Studious
Mai cika kyama,Squeamish
Mai cika surutu,Talkative
Mai cika wasa,Skittish
Mai ciki,Pregnant
Mai cin gajiyarta,Beneficiary
Mai cin gurde,Disloyal
Mai cin mutuncin jamaa,Mudslinger
Mai cin nama,Carnivorous
Mai cin riba,Usurper
Mai cin uwa,Motherfucker
Mai ciniki,Customer
Mai ciwo,Ailing
Mai ciyuwa,Edible
Mai curiosity,Curious
Mai cuta,Harmful
Mai cutar kansa,Cancerous
Mai cutarwa,Harmful
Mai da,Refer
Mai da (kudi),Refund
Mai da bakar magana,Taut
Mai da hankali,Sobering
Mai da’a,Graceful
Mai dabara,Wise
Mai dabaru,Strategist
Mai dabo,Magician
Mai dacewa,Convienient
Mai daci,Bitterly
Mai daddakirewa,Jerky
Mai dadewa,Slow
Mai dadi,Jolly
Mai dadi,Jolly
Mai daɗi,Palatable
Mai dadi sosai,Luscious
Mai dadin baki,Gentle
Mai dadin dandano,Delectable
Mai dadin gani,Graceful
Mai dadiro,John
Mai dafi,Venomous
Mai daga hankali,Terrific
Mai dagewa,Persistent
Mai daidaitawa,Moderator
Mai dakatarwa,Quitter
Mai daki,Roomier
Mai dama,Decent
Mai dama-dama,Reasonable
Mai damu,Macabre
Mai damuwa,Anxious
Mai dan dumi,Lukewarm
Mai dandano,Tasteful
Mai danko-danko,Sticky
Mai danshi,Saturated
Mai daraja,Honorable
Mai dari-dari,Shy
Mai datti,Dirty
Mai datti kwarai,Dirtier
Mai dauda,Dirty
Mai dauda matuka,Smuttiest
Mai dauka da yawa,Large-capacity
Mai daukar alhaki,Responsive
Mai ɗaukar fansa,Avenger
Mai daukar hankali,Breathtaking
Mai ɗaukar hoto,Tetchy
Mai daukar ido,Eye-catch
Mai ɗaukar kaya,Bearer
Mai daukar sauti,Recorder
Mai daukawa,Carrier
Mai daukuwa,Portable
Mai daure kai,Puzzling
Mai dauwama,Permanent
Mai dazaza,Hump
Mai diga,Drippy
Mai digiri,Graduate
Mai dimaucewa,Dizzy
Mai dingishi,Lame
Mai dodo,Wizard
Mai dokanta,Eager
Mai doki,Cavalier
Mai ɗoki,Eager
Mai dorewa,Sustainable
Mai doro,Round-shouldered
Mai dubawa,Examplar
Mai duhu,Murky
Mai duhu-duhu,Obscure
Mai dukiya,Wealthy
Mai dukuku,Downcast
Mai dumi,Warm
Mai dusaahewa,Blurring
Mai dushewa,Dim
Mai dusu-dusu,Bluring
Mai duwatsu,Rocky
Mai faɗa,Belligerent
Mai faɗakarwa,Alarmist
Mai fadi,Panoramic
Mai fadin kugu,Buxom
Mai faduwa,Saggy
Mai fahimta,Discreet
Mai falala,Spacious
Mai fara’a,Gay
Mai faraa,Charming
Mai faran-faran,Jovial
Mai faran-faran da yara,Kid-friendly
Mai farar zuciya,Equable
Mai farashi,Costly
Mai farauta,Predatory
Mai farfadiya,Epileptic
Mai fari,Parched
Mai farin ciki,Exuberant
Mai farin gashi,Blond
Mai farin jini,Tender
Mai fariya,Ostentatious
Mai farka,Conscious
Mai fasa -kwauri,Smuggler
Mai fasaha,Clever
Mai fashewa,Explosive
Mai fatan,Hopeful
Mai fatan alheri,Hopeful
Mai figitarwa,Eerie
Mai fiko,Excellent
Mai filako,Demure
Mai firgitarwa,Horrific
Mai fitarwa,Fertile
Mai fitina,Naughty
Mai fushi,Annoying
Mai fuska biyu,Dubiously
Mai gabatar da kara,Plaintiff
Mai gabatarwa,Presentable
Mai gadi,Watchman
Mai gadin gida,Warden
Mai gadin mutum,Bodyguard
Mai gaggawa,Hasty
Mai gaje-ama,Restless
Mai gajiya,Tedious
Mai galabaita,Delirious
Mai ganewa,Recognizable
Mai gani garma-garma,Short-sighted
Mai gani tar-tar,Acuity
Mai ganin kunta,Inquisitive
Mai garaje,Hasty
Mai gardama,Incompatible
Mai gargadi,Warning
Mai gargaɗi,Admonisher
Mai gashi,Hairy
Mai gashi buzu buzu,Downy
Mai gashi buzubuzu,Shaggy
Mai gaskiya,Truant
Mai gatse,Sarcastic
Mai gefe daya,One-sided
Mai gida,Householder
Mai gigitarwa,Shocking
Mai gina jiki,Nutritious
Mai girgiza,Tremulous
Mai girma,Superior
Mai girman kai,Atrocious
Mai girman rai,Haughty
Mai gishiri,Sultry
Mai gizagizai,The clouds
Mai godiya,Thankful
Mai gona,Farmer
Mai goyon baya,Fan
Mai guba,Poisonous
Mai gudu,Ranter
Mai gundura,Boring
Mai gurbata,Polluter
Mai gwabi,Sturdy
Mai gwaninta,Proficient
Mai gwarzawa,A brave human
Mai gwibi,Thick
Mai gyangyadi,Drowsy
Mai gyaran takalmi,Cobbler
Mai gyaran waya,Linesman
Mai gyarawa,Restorative
Mai hada magani,Pharmacist
Mai hadama,Greedy
Mai hadani,Vigilant
Mai hadari,Cloudy
Mai haɗari,Accidental
Mai haiba,Dignified
Mai hajijiya,Giddy
Mai hakuri,Patient
Mai hakuri,Patient
Mai haƙuri,Tolerant
Mai halayya ta daban,Mutant
Mai halin,Liable
Mai halin bakauye,Rustic
Mai halin banza,Naughty
Mai halin barawo,Ruffian
Mai halin barkono,Touchy
Mai halin biyayya,Compliant
Mai halin cudanya,Genial
Mai halin dariya,Humorous
Mai halin dattijo,Respectable
Mai halin daurewa,Sober
Mai halin fitina,Unruly
Mai halin gabagadi,Sanguine
Mai halin girma,Dignified
Mai halin ibada,Pious
Mai halin kwaraka,Parasite
Mai halin mace,Effeminate
Mai halin rowa,Parsimonious
Mai halin sauye-sauye,Variable
Mai halin shiru,Taciturn
Mai halin sokewa,Critical
Mai halin tsabta,Cleanly
Mai halin zarumi,Valiant
Mai hallakarwa,Destroyer
Mai hallakaswa,Destructive
Mai hallara wurin,Present
Mai halwa,Hermit
Mai hana,Prohibitive
Mai hana cuta,Hygiene
Mai hana ruwa,Waterproof
Mai hangen nesa,Pessimist
Mai hankali,Cravenly
Mai hankali kwarai,Scrupulous
Mai hankali tabawa,Gentle
Mai hankalin baki,Discreet
